feature_id_standardized	gene_symbol	description	gene_biotype	annotation_release
NCBI:GeneID:117680673	LOC117680673	heat shock protein 68	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105321326	LOC105321326	endoplasmic reticulum membrane sensor NFE2L1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105346578	LOC105346578	major egg antigen	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105317118	LOC105317118	uncharacterized LOC105317118	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136271521	LOC136271521	uncharacterized LOC136271521	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322484	LOC105322484	heat shock protein 68-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105321886	LOC105321886	uncharacterized LOC105321886	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136271565	LOC136271565	uncharacterized LOC136271565	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105334510	LOC105334510	heat shock protein 68-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105334814	LOC105334814	baculoviral IAP repeat-containing protein 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136271678	LOC136271678	uncharacterized LOC136271678	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105348305	LOC105348305	heat shock protein 68-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136272649	LOC136272649	uncharacterized LOC136272649	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117680480	LOC117680480	piggyBac transposable element-derived protein 4-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105348304	LOC105348304	heat shock protein 68	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105343216	LOC105343216	heat shock protein Hsp-16.48/Hsp-16.49	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117681182	LOC117681182	uncharacterized LOC117681182	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117691913	LOC117691913	alpha-crystallin A chain-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117692820	LOC117692820	uncharacterized LOC117692820	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136274571	LOC136274571	uncharacterized LOC136274571	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136275451	LOC136275451	antiviral innate immune response receptor RIG-I-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105320305	LOC105320305	uncharacterized LOC105320305	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136276074	LOC136276074	uncharacterized LOC136276074	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318686	LOC105318686	telomere repeats-binding bouquet formation protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105341654	LOC105341654	transcription factor Jun	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136271517	LOC136271517	serine-rich adhesin for platelets-like	protein_coding	GCF_963853765.1-RS_2024_06
