feature_id_standardized	gene_symbol	description	gene_biotype	annotation_release
NCBI:GeneID:117686572	LOC117686572	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105331877	LOC105331877	uncharacterized LOC105331877	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338552	LOC105338552	uncharacterized LOC105338552	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117681484	LOC117681484	transforming growth factor-beta-induced protein ig-h3-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318991	LOC105318991	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105321245	LOC105321245	uncharacterized LOC105321245	misc_RNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117686571	LOC117686571	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340999	LOC105340999	A disintegrin and metalloproteinase with thrombospondin motifs adt-1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105323084	LOC105323084	SCO-spondin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338869	LOC105338869	uncharacterized LOC105338869	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344090	LOC105344090	mesenchyme-specific cell surface glycoprotein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105335041	LOC105335041	uncharacterized LOC105335041	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105348543	LOC105348543	perilipin-2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105342460	LOC105342460	tenascin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136276469	LOC136276469	uncharacterized LOC136276469	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105341033	LOC105341033	collagen alpha-1(XIV) chain	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105339449	LOC105339449	geranylgeranyl transferase type-1 subunit beta	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136270966	LOC136270966	coadhesin-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318009	LOC105318009	Golgi-associated plant pathogenesis-related protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136271471	LOC136271471	transforming growth factor-beta-induced protein ig-h3-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105343145	LOC105343145	apolipoprotein D	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322971	LOC105322971	transcription factor atf-2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:109619724	LOC109619724	endoglucanase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105326403	LOC105326403	uncharacterized LOC105326403	misc_RNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340827	LOC105340827	heme-binding protein 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105327622	LOC105327622	shematrin-like protein 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136270843	LOC136270843	A disintegrin and metalloproteinase with thrombospondin motifs adt-1-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105335771	LOC105335771	uncharacterized LOC105335771	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117689190	LOC117689190	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322357	LOC105322357	uncharacterized LOC105322357	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105332528	LOC105332528	baculoviral IAP repeat-containing protein 8	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117689189	LOC117689189	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105324352	LOC105324352	natterin-3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105317748	LOC105317748	uncharacterized LOC105317748	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105323841	LOC105323841	adipocyte plasma membrane-associated protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105341146	LOC105341146	uncharacterized LOC105341146	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105324594	LOC105324594	uncharacterized LOC105324594	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105320474	LOC105320474	ecdysone receptor	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105332386	LOC105332386	beta-1,3-glucan-binding protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105346434	LOC105346434	transforming growth factor-beta-induced protein ig-h3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105343931	LOC105343931	uncharacterized LOC105343931	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136273127	LOC136273127	sterile alpha motif domain-containing protein 9-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322023	LOC105322023	uncharacterized LOC105322023	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105346800	LOC105346800	uncharacterized LOC105346800	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105331712	LOC105331712	sperm-associated microtubule inner protein 10	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105341082	LOC105341082	uncharacterized LOC105341082	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105345100	LOC105345100	uncharacterized LOC105345100	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105321969	LOC105321969	temptin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105328968	LOC105328968	F-box only protein 4	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105346608	LOC105346608	uncharacterized LOC105346608	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136272141	LOC136272141	uncharacterized LOC136272141	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105337671	LOC105337671	temptin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105330352	LOC105330352	uncharacterized LOC105330352	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105348066	LOC105348066	uncharacterized LOC105348066	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117687150	LOC117687150	uncharacterized LOC117687150	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105327027	LOC105327027	heme-binding protein 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105339946	LOC105339946	SCO-spondin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136273691	LOC136273691	uncharacterized LOC136273691	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105348808	LOC105348808	coadhesin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136273824	LOC136273824	uncharacterized LOC136273824	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105317552	LOC105317552	uncharacterized LOC105317552	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105341499	LOC105341499	uncharacterized LOC105341499	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105343805	LOC105343805	interferon regulatory factor 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136276032	LOC136276032	uncharacterized LOC136276032	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105347939	LOC105347939	uncharacterized LOC105347939	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105347149	LOC105347149	NAD-dependent protein deacetylase Sirt6	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105347968	LOC105347968	phospholipid-transporting ATPase ABCA3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105328656	LOC105328656	hypothetical protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105345420	LOC105345420	P-selectin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105335677	LOC105335677	histone acetyltransferase p300	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136269516	LOC136269516	sacsin-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344069	LOC105344069	cartilage matrix protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105347364	LOC105347364	uncharacterized LOC105347364	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105333868	LOC105333868	uncharacterized LOC105333868	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105343686	LOC105343686	ubiquitin carboxyl-terminal hydrolase 46	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344203	LOC105344203	glutamate receptor ionotropic, kainate glr-3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136276109	LOC136276109	uncharacterized LOC136276109	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105337198	LOC105337198	fibrocystin-L	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105325327	LOC105325327	dual oxidase 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105339404	LOC105339404	uncharacterized LOC105339404	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136271677	LOC136271677	uromodulin-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318744	LOC105318744	retinal-binding protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105337016	LOC105337016	protein c-Fos	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105321902	LOC105321902	glutamate decarboxylase 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105337015	LOC105337015	uncharacterized LOC105337015	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105334483	LOC105334483	protein SPMIP7	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105321588	LOC105321588	uncharacterized LOC105321588	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105347650	LOC105347650	B-cell lymphoma/leukemia 11A	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105335044	LOC105335044	uncharacterized LOC105335044	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105328482	LOC105328482	rho-related GTP-binding protein RhoJ	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105339777	LOC105339777	inactive cell surface hyaluronidase CEMIP2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105326453	LOC105326453	estrogen receptor beta	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344814	LOC105344814	patched domain-containing protein 3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338364	LOC105338364	uncharacterized LOC105338364	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340829	LOC105340829	heme-binding protein 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117687479	LOC117687479	uncharacterized LOC117687479	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344828	LOC105344828	uncharacterized LOC105344828	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105335342	LOC105335342	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318136	LOC105318136	uncharacterized transmembrane protein DDB_G0289901-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322800	LOC105322800	uncharacterized LOC105322800	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136270562	LOC136270562	uncharacterized LOC136270562	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105325920	LOC105325920	E3 ubiquitin-protein ligase rnf213-alpha	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136275171	LOC136275171	uncharacterized LOC136275171	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318131	LOC105318131	uncharacterized transmembrane protein DDB_G0289901	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336863	LOC105336863	uncharacterized LOC105336863	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105334107	LOC105334107	ubiquitin carboxyl-terminal hydrolase 27	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322773	LOC105322773	uncharacterized LOC105322773	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105330590	LOC105330590	protein SPEC3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338896	LOC105338896	stromelysin-3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136272225	LOC136272225	uncharacterized LOC136272225	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105330305	LOC105330305	glutathione peroxidase-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117681481	LOC117681481	uncharacterized LOC117681481	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:109617071	LOC109617071	uncharacterized LOC109617071	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117690870	LOC117690870	uncharacterized LOC117690870	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117682758	LOC117682758	interferon-induced protein 44-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105331115	LOC105331115	pyrroline-5-carboxylate reductase 3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105343196	LOC105343196	methyltransferase-like protein 27	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336945	LOC105336945	DNA ligase 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322449	LOC105322449	uncharacterized LOC105322449	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105337005	LOC105337005	uncharacterized LOC105337005	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105317562	LOC105317562	chitin synthase chs-2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344978	LOC105344978	suppressor of tumorigenicity 14 protein homolog	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338307	LOC105338307	uncharacterized LOC105338307	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136271474	LOC136271474	transforming growth factor-beta-induced protein ig-h3-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105348927	LOC105348927	sodium- and chloride-dependent glycine transporter 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105326829	LOC105326829	perlucin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117681590	LOC117681590	uncharacterized LOC117681590	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336754	LOC105336754	electrogenic sodium bicarbonate cotransporter 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105329916	LOC105329916	uncharacterized LOC105329916	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105327652	LOC105327652	allene oxide synthase-lipoxygenase protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105342651	LOC105342651	transforming growth factor-beta-induced protein ig-h3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105323382	LOC105323382	uncharacterized LOC105323382	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322271	LOC105322271	transforming growth factor-beta-induced protein ig-h3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318817	LOC105318817	coadhesin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105327669	LOC105327669	uncharacterized LOC105327669	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105319359	LOC105319359	glutamic acid-rich protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105342860	LOC105342860	uncharacterized LOC105342860	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105320161	LOC105320161	arginine kinase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105348527	LOC105348527	delta-1-pyrroline-5-carboxylate synthase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105319593	LOC105319593	uncharacterized LOC105319593	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117681409	LOC117681409	uncharacterized LOC117681409	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338064	LOC105338064	uncharacterized LOC105338064	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105328791	LOC105328791	dual serine/threonine and tyrosine protein kinase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336137	LOC105336137	uncharacterized LOC105336137	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136271312	LOC136271312	uncharacterized LOC136271312	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340688	LOC105340688	NPC intracellular cholesterol transporter 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105348059	LOC105348059	uncharacterized LOC105348059	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136271921	LOC136271921	uncharacterized LOC136271921	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105329662	LOC105329662	E3 ubiquitin-protein ligase MIB2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117692946	LOC117692946	E3 ubiquitin-protein ligase XIAP	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105326466	LOC105326466	uncharacterized LOC105326466	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318899	LOC105318899	uncharacterized LOC105318899	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117680363	LOC117680363	uncharacterized LOC117680363	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136275979	LOC136275979	uncharacterized LOC136275979	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117682745	LOC117682745	interferon-induced protein 44-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336745	LOC105336745	protogenin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136276347	LOC136276347	uncharacterized LOC136276347	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105327454	LOC105327454	growth arrest and DNA damage-inducible protein GADD45 beta	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105330549	LOC105330549	multiple epidermal growth factor-like domains protein 10	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105331920	LOC105331920	rootletin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322333	LOC105322333	blastula protease 10	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344530	LOC105344530	uncharacterized LOC105344530	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105345814	LOC105345814	CCAAT/enhancer-binding protein beta	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105329483	LOC105329483	tolloid-like protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:109618609	LOC109618609	heme-binding protein 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105326350	LOC105326350	cubilin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105325622	LOC105325622	uncharacterized LOC105325622	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105317162	LOC105317162	adenosylhomocysteinase A	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105342079	LOC105342079	multiple epidermal growth factor-like domains protein 10	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105341799	LOC105341799	ATP-dependent RNA helicase DHX58	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105343262	LOC105343262	hypothetical protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105339318	LOC105339318	LRP2-binding protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105331844	LOC105331844	uncharacterized LOC105331844	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117683857	LOC117683857	pericentrin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105343307	LOC105343307	acetylcholine receptor subunit beta	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105334332	LOC105334332	beta-1,3-galactosyltransferase 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117685084	LOC117685084	cilia- and flagella-associated protein 107-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105331590	LOC105331590	RNA-binding protein 39	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105327450	LOC105327450	growth arrest and DNA damage-inducible protein GADD45 beta	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105335014	LOC105335014	uncharacterized LOC105335014	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105331809	LOC105331809	ADP-ribose glycohydrolase MACROD2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105328728	LOC105328728	dynein beta chain, ciliary	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105337232	LOC105337232	prostaglandin G/H synthase 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105328910	LOC105328910	uncharacterized LOC105328910	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:109620963	LOC109620963	uncharacterized LOC109620963	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105323966	LOC105323966	polyadenylate-binding protein 4-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340538	LOC105340538	protein hook homolog	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117689267	LOC117689267	uncharacterized LOC117689267	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:109617782	LOC109617782	uncharacterized LOC109617782	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105333392	LOC105333392	multifunctional protein ADE2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105325216	LOC105325216	putative beta-hexosaminidase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136270659	LOC136270659	A disintegrin and metalloproteinase with thrombospondin motifs adt-1-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136275403	LOC136275403	uncharacterized LOC136275403	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117690512	LOC117690512	dynein axonemal heavy chain 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105324245	LOC105324245	sperm microtubule inner protein 8	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322799	LOC105322799	uncharacterized LOC105322799	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105345293	LOC105345293	pleckstrin homology domain-containing family B member 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105332212	LOC105332212	heat shock 70 kDa protein 12A	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136269764	LOC136269764	cytochrome P450 2B4-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105320853	LOC105320853	protein giant	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136276313	LOC136276313	glutathione-specific gamma-glutamylcyclotransferase 1-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318853	LOC105318853	uncharacterized LOC105318853	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105327147	LOC105327147	uncharacterized LOC105327147	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105325003	LOC105325003	tetratricopeptide repeat protein 36	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340547	LOC105340547	uncharacterized LOC105340547	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105343293	LOC105343293	dynein axonemal heavy chain 10	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105328084	LOC105328084	uncharacterized LOC105328084	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105345244	LOC105345244	nuclear valosin-containing protein-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105330937	LOC105330937	uncharacterized LOC105330937	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105328424	LOC105328424	uncharacterized LOC105328424	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105345408	LOC105345408	quinone reductase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105329634	LOC105329634	paramyosin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322462	LOC105322462	craniofacial development protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340285	LOC105340285	dynein axonemal heavy chain 12	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105321897	LOC105321897	uncharacterized LOC105321897	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318139	LOC105318139	uncharacterized transmembrane protein DDB_G0289901	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105331159	LOC105331159	uncharacterized LOC105331159	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105325274	LOC105325274	uncharacterized LOC105325274	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105343573	LOC105343573	chitin synthase chs-2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105334260	LOC105334260	uncharacterized LOC105334260	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105347363	LOC105347363	AN1-type zinc finger protein 4	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105327994	LOC105327994	uncharacterized LOC105327994	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105347519	LOC105347519	uncharacterized LOC105347519	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136269679	LOC136269679	uncharacterized LOC136269679	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340934	LOC105340934	uncharacterized LOC105340934	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105347205	LOC105347205	uncharacterized LOC105347205	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322631	LOC105322631	uncharacterized LOC105322631	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105335417	LOC105335417	acyl-CoA desaturase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105332854	LOC105332854	cilia- and flagella-associated protein 20	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336675	LOC105336675	uncharacterized LOC105336675	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105345747	LOC105345747	uncharacterized LOC105345747	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105317843	LOC105317843	uncharacterized LOC105317843	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105331509	LOC105331509	uncharacterized LOC105331509	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336425	LOC105336425	glutamate receptor U1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105321547	LOC105321547	uncharacterized protein DDB_G0284459	protein_coding	GCF_963853765.1-RS_2024_06
